id,title,genres,averageRating,numVotes,releaseYear
tt4295140,Chef's Table,"Biography, Documentary",8.5,17520,2015
tt0185133,Yu Yu Hakusho: Ghost Files,"Action, Adventure, Animation",8.5,17348,1992
tt8317568,Broken But Beautiful,"Drama, Romance",8.5,17321,2018
tt11691684,Flower of Evil,"Crime, Mystery, Romance",8.5,17005,2020
tt0131179,Detective Conan,"Action, Animation, Comedy",8.5,16676,1996
tt1230180,The Angry Video Game Nerd,"Action, Comedy, Fantasy",8.5,16110,2004
tt11680642,Pantheon,"Action, Adventure, Animation",8.5,15920,2022
tt6958022,The Defiant Ones,"Biography, Crime, Documentary",8.5,15895,2017
tt0061287,The Prisoner,"Drama, Mystery, Sci-Fi",8.5,15745,1967
tt15614372,Tear Along the Dotted Line,"Animation, Comedy, Drama",8.5,15738,2021
tt0098825,House of Cards,Drama,8.5,15503,1990
tt0807832,Mushi-Shi,"Animation, Drama, Fantasy",8.5,15496,2005
tt0934320,Summer Heights High,"Comedy, Drama, Family",8.5,15395,2007
tt26743760,The Apothecary Diaries,"Animation, Drama, History",8.5,14614,2023
tt22185582,Sixer,"Drama, Sport",8.5,14252,2022
tt0120570,From the Earth to the Moon,"Action, Drama, History",8.5,14115,1998
tt31123801,Like There's No Tomorrow,"Drama, Romance",8.5,13867,2024
tt0315008,Great Teacher Onizuka,"Animation, Comedy, Drama",8.5,13079,1999
tt9304350,Fruits Basket,"Animation, Comedy, Drama",8.5,11396,2019
tt11052470,Move to Heaven,Drama,8.5,11315,2021
tt12369754,Staged,"Comedy, Drama",8.5,11206,2020
tt5332206,Signal,"Crime, Drama, Fantasy",8.5,10766,2016
tt2301351,RuPaul's Drag Race All Stars,"Game-Show, Reality-TV",8.5,10484,2012
tt0062550,The Bugs Bunny/Road Runner Hour,"Animation, Comedy",8.5,10395,1968
tt0475784,Westworld,"Drama, Mystery, Sci-Fi",8.4,548653,2016
tt1632701,Suits,"Comedy, Drama",8.4,516692,2011
tt0460681,Supernatural,"Drama, Fantasy, Horror",8.4,513530,2005
tt2467372,Brooklyn Nine-Nine,"Comedy, Crime",8.4,395556,2013
tt5675620,The Punisher,"Action, Crime, Drama",8.4,285929,2017
